class,probs
"starfish, sea star",1.27483E-08
curly-coated retriever,1.2685E-08
"patas, hussar monkey, Erythrocebus patas",1.26209E-08
coral fungus,1.25435E-08
Weimaraner,1.24856E-08
alligator lizard,1.24359E-08
folding chair,1.23166E-08
gyromitra,1.23042E-08
"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum",1.22333E-08
Persian cat,1.21199E-08
"European gallinule, Porphyrio porphyrio",1.20688E-08
"hip, rose hip, rosehip",1.20569E-08
"chow, chow chow",1.20334E-08
"Old English sheepdog, bobtail",1.19139E-08
"Scottish deerhound, deerhound",1.17775E-08
measuring cup,1.17625E-08
ping-pong ball,1.16077E-08
mud turtle,1.14205E-08
eft,1.14169E-08
custard apple,1.12794E-08
manhole cover,1.12226E-08
"Afghan hound, Afghan",1.12128E-08
flat-coated retriever,1.11928E-08
"garden spider, Aranea diademata",1.10616E-08
burrito,1.10549E-08
armadillo,1.10473E-08
"pick, plectrum, plectron",1.10325E-08
damselfly,1.10188E-08
mink,1.09534E-08
consomme,1.09311E-08
"hot pot, hotpot",1.09016E-08
"American alligator, Alligator mississipiensis",1.08955E-08
brain coral,1.07893E-08
spaghetti squash,1.07418E-08
"wallet, billfold, notecase, pocketbook",1.0721E-08
"apiary, bee house",1.0675E-08
fig,1.05858E-08
"Staffordshire bullterrier, Staffordshire bull terrier",1.05515E-08
bolete,1.04665E-08
"African crocodile, Nile crocodile, Crocodylus niloticus",1.04125E-08
miniature pinscher,1.03855E-08
golden retriever,1.03297E-08
"sidewinder, horned rattlesnake, Crotalus cerastes",1.03033E-08
briard,1.02321E-08
marmoset,1.02165E-08
hummingbird,1.01959E-08
"goldfinch, Carduelis carduelis",1.01844E-08
"tiger, Panthera tigris",9.95887E-09
"frilled lizard, Chlamydosaurus kingi",9.92501E-09
"tench, Tinca tinca",9.82782E-09
"sea cucumber, holothurian",9.74474E-09
poncho,9.70649E-09
kite,9.64504E-09
"chimpanzee, chimp, Pan troglodytes",9.63048E-09
redbone,9.59615E-09
"diamondback, diamondback rattlesnake, Crotalus adamanteus",9.5881E-09
Petri dish,9.54313E-09
"gorilla, Gorilla gorilla",9.54217E-09
"king snake, kingsnake",9.53005E-09
"lacewing, lacewing fly",9.52736E-09
hornbill,9.51182E-09
"Saint Bernard, St Bernard",9.46551E-09
bluetick,9.38094E-09
"clog, geta, patten, sabot",9.34417E-09
"walking stick, walkingstick, stick insect",9.25912E-09
Granny Smith,9.22306E-09
"black-footed ferret, ferret, Mustela nigripes",9.15946E-09
German short-haired pointer,9.15622E-09
bee eater,9.13834E-09
"odometer, hodometer, mileometer, milometer",9.11915E-09
mixing bowl,9.01099E-09
honeycomb,8.98267E-09
cheeseburger,8.94533E-09
jay,8.82663E-09
Chesapeake Bay retriever,8.81857E-09
hermit crab,8.74458E-09
"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca",8.69056E-09
EntleBucher,8.64122E-09
"junco, snowbird",8.6317E-09
"diaper, nappy, napkin",8.58039E-09
dowitcher,8.57944E-09
"cheetah, chetah, Acinonyx jubatus",8.53602E-09
bee,8.45081E-09
"chiffonier, commode",8.35465E-09
rhinoceros beetle,8.32403E-09
velvet,8.27812E-09
digital watch,8.27324E-09
baboon,8.2185E-09
"colobus, colobus monkey",8.06039E-09
hair slide,8.0589E-09
boxer,7.99885E-09
acorn,7.98669E-09
"Pekinese, Pekingese, Peke",7.98197E-09
"wool, woolen, woollen",7.96604E-09
centipede,7.78694E-09
"pizza, pizza pie",7.76834E-09
"guinea pig, Cavia cobaya",7.70605E-09
vine snake,7.69181E-09
"great grey owl, great gray owl, Strix nebulosa",7.39504E-09
"impala, Aepyceros melampus",7.35653E-09
"three-toed sloth, ai, Bradypus tridactylus",7.34649E-09
black-and-tan coonhound,7.31781E-09
tusker,7.30713E-09
head cabbage,7.30392E-09
dough,7.27144E-09
daisy,7.26064E-09
"pool table, billiard table, snooker table",7.22308E-09
"bloodhound, sleuthhound",7.19833E-09
"Dandie Dinmont, Dandie Dinmont terrier",7.16098E-09
"otterhound, otter hound",7.15181E-09
"bullfrog, Rana catesbeiana",7.09984E-09
tray,7.0419E-09
tarantula,6.96844E-09
necklace,6.8546E-09
eel,6.58866E-09
"jinrikisha, ricksha, rickshaw",6.54284E-09
Italian greyhound,6.52015E-09
"tiger shark, Galeocerdo cuvieri",6.38543E-09
"jackfruit, jak, jack",6.34901E-09
chickadee,6.32346E-09
"dhole, Cuon alpinus",6.31439E-09
bull mastiff,6.23328E-09
"china cabinet, china closet",6.19367E-09
trifle,6.1856E-09
"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",6.1367E-09
"common iguana, iguana, Iguana iguana",6.09626E-09
Irish wolfhound,6.06346E-09
"black and gold garden spider, Argiope aurantia",5.99824E-09
bottlecap,5.96297E-09
fly,5.93245E-09
soft-coated wheaten terrier,5.8838E-09
Kerry blue terrier,5.86688E-09
"American black bear, black bear, Ursus americanus, Euarctos americanus",5.83768E-09
strawberry,5.78659E-09
sea snake,5.74571E-09
beaver,5.72721E-09
"Airedale, Airedale terrier",5.69375E-09
"sloth bear, Melursus ursinus, Ursus ursinus",5.60504E-09
cliff dwelling,5.60224E-09
dung beetle,5.5778E-09
"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",5.5437E-09
"hippopotamus, hippo, river horse, Hippopotamus amphibius",5.4779E-09
macaw,5.19793E-09
"nematode, nematode worm, roundworm",5.15703E-09
"titi, titi monkey",5.15354E-09
coral reef,5.09813E-09
"skunk, polecat, wood pussy",5.0971E-09
"water ouzel, dipper",5.06165E-09
"ground beetle, carabid beetle",5.02941E-09
"hyena, hyaena",4.96644E-09
steel drum,4.92241E-09
"artichoke, globe artichoke",4.82936E-09
"whiptail, whiptail lizard",4.78841E-09
"pot, flowerpot",4.78106E-09
"garter snake, grass snake",4.77384E-09
banded gecko,4.73872E-09
"Dungeness crab, Cancer magister",4.71024E-09
"Madagascar cat, ring-tailed lemur, Lemur catta",4.6696E-09
"chiton, coat-of-mail shell, sea cradle, polyplacophore",4.61191E-09
"affenpinscher, monkey pinscher, monkey dog",4.60295E-09
shower cap,4.55157E-09
"buckeye, horse chestnut, conker",4.50421E-09
cauliflower,4.49481E-09
"spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish",4.49341E-09
weevil,4.41502E-09
"leaf beetle, chrysomelid",4.4043E-09
"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",4.2828E-09
"Arabian camel, dromedary, Camelus dromedarius",4.27028E-09
mashed potato,4.23359E-09
sea urchin,4.17758E-09
"Gila monster, Heloderma suspectum",4.15291E-09
badger,4.12323E-09
"Irish setter, red setter",4.09395E-09
tick,4.05233E-09
"capuchin, ringtail, Cebus capucinus",4.04548E-09
pomegranate,4.04379E-09
toucan,4.01766E-09
"spotted salamander, Ambystoma maculatum",4.01434E-09
green mamba,3.99384E-09
"American lobster, Northern lobster, Maine lobster, Homarus americanus",3.9851E-09
"howler monkey, howler",3.95933E-09
miniature schnauzer,3.95763E-09
isopod,3.9529E-09
warthog,3.94919E-09
"green lizard, Lacerta viridis",3.93934E-09
"ringneck snake, ring-necked snake, ring snake",3.86657E-09
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",3.82901E-09
shower curtain,3.82837E-09
"leopard, Panthera pardus",3.82572E-09
Irish terrier,3.81919E-09
lemon,3.81696E-09
"box turtle, box tortoise",3.79957E-09
"red wolf, maned wolf, Canis rufus, Canis niger",3.79E-09
lionfish,3.68627E-09
"black widow, Latrodectus mactans",3.67601E-09
"rock crab, Cancer irroratus",3.53414E-09
"king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica",3.51699E-09
"echidna, spiny anteater, anteater",3.51665E-09
"rock beauty, Holocanthus tricolor",3.50242E-09
"flatworm, platyhelminth",3.44007E-09
"meat loaf, meatloaf",3.35074E-09
"jaguar, panther, Panthera onca, Felis onca",3.34119E-09
Leonberg,3.21786E-09
"American coot, marsh hen, mud hen, water hen, Fulica americana",3.21227E-09
keeshond,3.08979E-09
"wolf spider, hunting spider",3.0136E-09
"common newt, Triturus vulgaris",2.96273E-09
"snow leopard, ounce, Panthera uncia",2.94547E-09
"sea anemone, anemone",2.93329E-09
"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",2.82631E-09
"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis",2.65312E-09
"lynx, catamount",2.62203E-09
"porcupine, hedgehog",2.60466E-09
"guenon, guenon monkey",2.57218E-09
"harvestman, daddy longlegs, Phalangium opilio",2.57021E-09
broccoli,2.45E-09
bell pepper,2.34104E-09
"tree frog, tree-frog",2.24198E-09
"dishrag, dishcloth",2.08416E-09
"indri, indris, Indri indri, Indri brevicaudatus",2.07939E-09
wombat,1.99087E-09
tiger beetle,1.8887E-09
hartebeest,1.84087E-09
bulbul,1.77081E-09
"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus",1.6974E-09
"puffer, pufferfish, blowfish, globefish",1.62272E-09
"European fire salamander, Salamandra salamandra",1.59994E-09
Brabancon griffon,1.35746E-09
lorikeet,1.34716E-09
"lion, king of beasts, Panthera leo",1.32679E-09
"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",1.32395E-09
jacamar,1.24812E-09
"green snake, grass snake",1.20595E-09
coucal,9.73435E-1
acorn squash,9.40947E-1
"thunder snake, worm snake, Carphophis amoenus",8.41304E-1
